"File: C:\Documents and Settings\Yingxiao Wang\My Documents\lab_members\Jihye\FA dynamics\Src\102408_Src + mcherry pax\2\2-1.log"
"Date: Fri Oct 24 2008 12:5:42.921"
0.00, "Wavelength Names:	CFP	FRET	transmitted light	RFP	open"
"Time (sec)"
14.86
"Region 1: [Location: (124, 143), Size: (128, 104), Area: 10352]"
"Region 2: [Location: (290, 146), Size: (111, 94), Area: 8108]"
"Region 3: [Location: (166, 264), Size: (163, 129), Area: 16347]"
"Time (sec)", "R1 W1 Avg", "R1 W1 Sum", "R1 W1 Area", "R1 W2 Avg", "R1 W2 Sum", "R1 W2 Area", "R1 W3 Avg", "R1 W3 Sum", "R1 W3 Area", "R1 W4 Avg", "R1 W4 Sum", "R1 W4 Area", "R1 R1", "R2 W1 Avg", "R2 W1 Sum", "R2 W1 Area", "R2 W2 Avg", "R2 W2 Sum", "R2 W2 Area", "R2 W3 Avg", "R2 W3 Sum", "R2 W3 Area", "R2 W4 Avg", "R2 W4 Sum", "R2 W4 Area", "R2 R1", "R3 W1 Avg", "R3 W1 Sum", "R3 W1 Area", "R3 W2 Avg", "R3 W2 Sum", "R3 W2 Area", "R3 W3 Avg", "R3 W3 Sum", "R3 W3 Area", "R3 W4 Avg", "R3 W4 Sum", "R3 W4 Area", "R3 R1"
2029.48, 6745.43, 69828677.00, 10352.00, 7421.50, 76827375.00, 10352.00, 0.00, 0.00, 0.00, 1784.53, 18473428.00, 10352.00, 0.92, 6038.89, 48963324.00, 8108.00, 6265.09, 50797311.00, 8108.00, 0.00, 0.00, 0.00, 1764.21, 14304230.00, 8108.00, 0.98, 6356.81, 103914836.00, 16347.00, 6874.46, 112376766.00, 16347.00, 0.00, 0.00, 0.00, 1788.64, 29238866.00, 16347.00, 0.94
2089.48, 6756.03, 69938371.00, 10352.00, 7500.06, 77640657.00, 10352.00, 0.00, 0.00, 0.00, 1783.02, 18457821.00, 10352.00, 0.91, 6049.59, 49050067.00, 8108.00, 6372.81, 51670718.00, 8108.00, 0.00, 0.00, 0.00, 1766.98, 14326654.00, 8108.00, 0.96, 6365.01, 104048765.00, 16347.00, 6956.27, 113714111.00, 16347.00, 0.00, 0.00, 0.00, 1786.36, 29201628.00, 16347.00, 0.93
2149.48, 6779.31, 70179426.00, 10352.00, 7549.04, 78147617.00, 10352.00, 0.00, 0.00, 0.00, 1787.22, 18501285.00, 10352.00, 0.91, 6214.67, 50388568.00, 8108.00, 6636.91, 53812060.00, 8108.00, 0.00, 0.00, 0.00, 1775.74, 14397670.00, 8108.00, 0.95, 6363.24, 104019961.00, 16347.00, 6896.43, 112735892.00, 16347.00, 0.00, 0.00, 0.00, 1786.32, 29200904.00, 16347.00, 0.94
2209.48, 6756.27, 69940857.00, 10352.00, 7475.55, 77386845.00, 10352.00, 0.00, 0.00, 0.00, 1784.28, 18470854.00, 10352.00, 0.92, 6481.72, 52553797.00, 8108.00, 7070.84, 57330368.00, 8108.00, 0.00, 0.00, 0.00, 1794.31, 14548282.00, 8108.00, 0.93, 6368.00, 104097623.00, 16347.00, 6910.36, 112963721.00, 16347.00, 0.00, 0.00, 0.00, 1788.96, 29244149.00, 16347.00, 0.94
2269.48, 6644.80, 68786975.00, 10352.00, 7291.85, 75485217.00, 10352.00, 0.00, 0.00, 0.00, 1780.09, 18427475.00, 10352.00, 0.92, 6487.75, 52602697.00, 8108.00, 7120.94, 57736555.00, 8108.00, 0.00, 0.00, 0.00, 1790.66, 14518706.00, 8108.00, 0.92, 6359.79, 103963473.00, 16347.00, 6885.30, 112553950.00, 16347.00, 0.00, 0.00, 0.00, 1783.40, 29153174.00, 16347.00, 0.94
2329.48, 6607.73, 68403210.00, 10352.00, 7227.96, 74823891.00, 10352.00, 0.00, 0.00, 0.00, 1779.33, 18419623.00, 10352.00, 0.93, 6520.96, 52871918.00, 8108.00, 7169.98, 58134205.00, 8108.00, 0.00, 0.00, 0.00, 1777.10, 14408767.00, 8108.00, 0.92, 6354.71, 103880384.00, 16347.00, 6862.88, 112187572.00, 16347.00, 0.00, 0.00, 0.00, 1782.29, 29135021.00, 16347.00, 0.94
2389.48, 6584.49, 68162604.00, 10352.00, 7166.31, 74185642.00, 10352.00, 0.00, 0.00, 0.00, 1777.77, 18403500.00, 10352.00, 0.93, 6299.79, 51078673.00, 8108.00, 6897.78, 55927163.00, 8108.00, 0.00, 0.00, 0.00, 1770.38, 14354265.00, 8108.00, 0.93, 6404.64, 104696647.00, 16347.00, 6912.22, 112994097.00, 16347.00, 0.00, 0.00, 0.00, 1783.79, 29159570.00, 16347.00, 0.94
2449.48, 6549.64, 67801839.00, 10352.00, 7093.20, 73428815.00, 10352.00, 0.00, 0.00, 0.00, 1779.44, 18420758.00, 10352.00, 0.94, 6240.20, 50595575.00, 8108.00, 6765.16, 54851914.00, 8108.00, 0.00, 0.00, 0.00, 1769.12, 14344007.00, 8108.00, 0.94, 6399.92, 104619507.00, 16347.00, 6932.21, 113320778.00, 16347.00, 0.00, 0.00, 0.00, 1783.14, 29149057.00, 16347.00, 0.94
2496.39, 6519.17, 67486423.00, 10352.00, 7146.83, 73983973.00, 10352.00, 0.00, 0.00, 0.00, 1733.37, 17943803.00, 10352.00, 0.93, 6101.95, 49474644.00, 8108.00, 6648.91, 53909342.00, 8108.00, 0.00, 0.00, 0.00, 1718.89, 13936776.00, 8108.00, 0.93, 6315.57, 103240620.00, 16347.00, 6910.95, 112973336.00, 16347.00, 0.00, 0.00, 0.00, 1739.70, 28438877.00, 16347.00, 0.93
2556.39, 6544.03, 67743773.00, 10352.00, 7135.69, 73868617.00, 10352.00, 0.00, 0.00, 0.00, 1769.26, 18315369.00, 10352.00, 0.93, 6105.80, 49505849.00, 8108.00, 6616.19, 53644093.00, 8108.00, 0.00, 0.00, 0.00, 1747.93, 14172220.00, 8108.00, 0.94, 6323.21, 103365474.00, 16347.00, 6868.95, 112286660.00, 16347.00, 0.00, 0.00, 0.00, 1770.11, 28936043.00, 16347.00, 0.93
